id,created_at,screen_name,user_name,user_location,text
594172334719803392,Fri May 01 16:11:38 +0000 2015,DavidAndGoliath,David & Goliath,Near an expresso machine,"#talkpay — before, or after taxes? $70,100. 40 hour weekends, gave up counting weekdays. :p"
594172342873362433,Fri May 01 16:11:40 +0000 2015,epersonae,Elaine Nelson ,"Olympia, WA","I didn't find out until years later, from coworkers who were also friends. They assumed I had negotiated too. :\ (3/3) #talkpay #tbt"
594172344752451585,Fri May 01 16:11:40 +0000 2015,TrendsPortland,Trendsmap Portland,"Portland, Oregon, USA",#talkpay is now trending in #Portland http://t.co/xoOjyKSF67
594172361206853632,Fri May 01 16:11:44 +0000 2015,norepro,Jake Adams,AZ,@davidwalshblog you’re supposed to share your bank account information ;) #talkpay
594172411760742400,Fri May 01 16:11:56 +0000 2015,_achiang,Alex Chiang,"San Francisco, CA","1st job out of undergrad: $55K as QA engineer (2002); 8 years later (2010), $87K as Linux developer (same co.), in TX and CO #talkpay"
594172446887923712,Fri May 01 16:12:05 +0000 2015,Chzn8r,Aaron Ringgenberg,"San Francisco, CA, USA","It's #talkpay Friday, so here goes. Job #1 after B.S. in Comp Sci, Mountain View startup earning $75K as Jr Software Dev (2010)"
594172475220471808,Fri May 01 16:12:11 +0000 2015,calebthompson,Caleb Thompson,"Austin, TX","#talkpay @keeprubyweird didn’t last year, and probably won’t this year."
594172513770438656,Fri May 01 16:12:21 +0000 2015,DevCred,DevCred,Berlin,"Cis MOC in Chicago: 
Developer w/ 8 years exp total, 
4 in web development
$111k before taxes + benefits.
#talkpay #POC"
594172523438338048,Fri May 01 16:12:23 +0000 2015,radiomorillo,Stephanie Morillo,"Bronx, New York City","MOC in Nashville
~10yrs experience, Clojure Dev at startup - $105k
#talkpay #POC"
594172728028061696,Fri May 01 16:13:12 +0000 2015,brittanystoroz,.DS_Storoz,secure shell,My palms are getting all sweaty reading the #talkpay feed.
594172749754433536,Fri May 01 16:13:17 +0000 2015,fivetanley,dead HOT garbage,born in garbage,"Age 16-20: $11/hr at grocery store
Age 20-22: $65k/yr with some options as a jr developer
Age 22-23: $95k/yr ""mid""
#talkpay"
594172835523760128,Fri May 01 16:13:37 +0000 2015,fivetanley,dead HOT garbage,born in garbage,pretty privileged and lucky. #talkpay
594172836123582465,Fri May 01 16:13:37 +0000 2015,peat,computers ಠ_ಠ,"Portland, OR","#talkpay Portland

18 yrs exp in tech startups.

$100-500/hr consulting/dev for the last 5 yrs.

Gross ~$35k in 2014 for personal reasons."
594172869065646080,Fri May 01 16:13:45 +0000 2015,Chzn8r,Aaron Ringgenberg,"San Francisco, CA, USA","Job #2 after being laid off from #1 due to company struggles, Jr Software Dev in RWC startup earning $85K (2012) #talkpay"
594172915827875840,Fri May 01 16:13:56 +0000 2015,StephanCastro,Stephan Castro,"San Francisco, CA","#talkpay Started Design career at 30k in PDX;  Then 50/hr; Moved to SF/into tech @Yammer 90k raised to 100k, won't speak to current salary."
594172923247734784,Fri May 01 16:13:58 +0000 2015,krystynheide,Krystyn,NYC,#talkpay Getting #EqualPayForEqualWork is important. Definitely #Ask4More. But know that your soul is more important than money.
594172954147172352,Fri May 01 16:14:06 +0000 2015,devhax_jill,Jill,"#fallout, #devhax",#talkpay http://t.co/5gZ1cG8xU7.
594172975177289729,Fri May 01 16:14:11 +0000 2015,agjhnsn,Anthony Johnson,"Portland, OR",@agjhnsn Perks that do not better work-life balance are insidious and rejecting these as benefits is a step to inclusive culture #talkpay
594173051572330497,Fri May 01 16:14:29 +0000 2015,LVAPrinting_com,LVAPRINTING.COM,"New York, NY USA",#Increase Your #Sales Using #Print #Products at http://t.co/OWzhyrv6TX #MayDay #talkpay #GlobalMoms #Expo2015 #Expo2015Milano #MicrosoftEdge
594173101358776320,Fri May 01 16:14:41 +0000 2015,mknepprath,Michael Knepprath,"Mankato, MN",#talkpay My first design job out of school was in radio. I made around 21K and no benefits.. Lesson: don't work in radio.
594173121982238720,Fri May 01 16:14:46 +0000 2015,Sphinx_Twitt,Julien/Sphinx( ●—● ),France,"#talkpay #france
2015: 39k - IT Project management"
594173225870831616,Fri May 01 16:15:10 +0000 2015,Chzn8r,Aaron Ringgenberg,"San Francisco, CA, USA","Earned 1 raise at Job #2, 1.5 yrs in, after surviving layoffs, to $95K, after transitioning to DevOps role (2014) #talkpay"
594173238537682944,Fri May 01 16:15:13 +0000 2015,languagehacker,Bob Elwell,"San Bruno, CA",#talkpay http://t.co/qJxOSslyN3
594173260960497664,Fri May 01 16:15:19 +0000 2015,developerhcnews,Coding News,"Riga, Latvia",#talkpay http://t.co/Woc7tLZsKW
594173265431568384,Fri May 01 16:15:20 +0000 2015,RickPaulas,Rick Paulas,"Nuclear Free Zone, CA",Let's do some #talkpay: I've earned $4k (pre-taxed) this month at a rate of output that's PROBABLY unsustainable if I want to stay sane.
594173291234918400,Fri May 01 16:15:26 +0000 2015,languagehacker,Bob Elwell,"San Bruno, CA",#talkpay http://t.co/Z1E2EIcKBL
594173300827418624,Fri May 01 16:15:28 +0000 2015,jessamynsmith,Jessamyn Smith,"Toronto, ON","#talkpay Ok, this is going to be super depressing, but, here goes. https://t.co/xTAxsC9Blo"
594173335174393856,Fri May 01 16:15:36 +0000 2015,languagehacker,Bob Elwell,"San Bruno, CA",#talkpay http://t.co/fwFZHNDnYw
594173438601760770,Fri May 01 16:16:01 +0000 2015,TrendRaconteur,Trending Raconteur,,No comment : #talkpay
594173461150371843,Fri May 01 16:16:07 +0000 2015,_hartsick,christa hartsock,"sf, ca","this! as someone who recently transitioned to tech, found pay very hard to navigate https://t.co/dl54sgzZwb #talkpay http://t.co/AUnCPpp05X"
594173468607782912,Fri May 01 16:16:08 +0000 2015,languagehacker,Bob Elwell,"San Bruno, CA",#talkpay http://t.co/jUuhJ2YbYu
594173498504794112,Fri May 01 16:16:15 +0000 2015,othiym23,Forrest L Norvell,the outside lands,"#talkpay DM ""$83k, Chicago, 8yrs experience, Puerto Rican, Software engineer. Don't feel well compensated."""
594173507178659840,Fri May 01 16:16:17 +0000 2015,_achiang,Alex Chiang,"San Francisco, CA","Changed jobs in 2010, still doing Linux. $95K as developer. After 4 years, as manager of team of ~8, $147K in SFO. #talkpay"
594173508265050113,Fri May 01 16:16:18 +0000 2015,paladique,Jasmine,Brooklyn ,What pisses me off the most abt my starting salary was the excuses for it being so low compared to the neighboring counties #talkpay
594173513218547712,Fri May 01 16:16:19 +0000 2015,mellowbeing,Jen ✏️,NYC,This #talkpay thread is slowly pissing me off more and more.  So many inexperienced devs get hired at such high salaries!  Sigh.
594173522437644288,Fri May 01 16:16:21 +0000 2015,_nadine,_nadine,Toronto,"Anyways, the reason I'm thinking out loud is because I think there's a lot of lip service that titles don't mean much, but they do. #talkpay"
594173531648233472,Fri May 01 16:16:23 +0000 2015,MHarrisEditor,Megan Harris,"St. Louis, Missouri",#talkpay fascinates me. It seems most people sharing are in tech industry.
594173549226557441,Fri May 01 16:16:28 +0000 2015,languagehacker,Bob Elwell,"San Bruno, CA",#talkpay http://t.co/UVatPTOyGN
594173568067325953,Fri May 01 16:16:32 +0000 2015,shanley,Shanley,San Francisco,#talkpay important to note salary is only part of the whole tech equation. EQUITY is huge part of this too
594173589739294721,Fri May 01 16:16:37 +0000 2015,fightstreeter,Gordon 'doc',Seattle,"The company I work for has ""tiers"" for payment, and each tier comes with a known pay range. We are NOT allowed to discuss our tier. #talkpay"
594173602695516160,Fri May 01 16:16:40 +0000 2015,jefflembeck,Jeff Lembeck,"Seattle, WA","DM: Bay Area Gay cis WM UX Engineer (JS &amp; web), 15+ years, pub auth, $326/year: $152k sal, $27k base bonus, $126k eq, $21k ben #talkpay"
